state_name,Density (Pop./ mi2),Population,Abbreviation,State
District of Columbia,11011.0,"672,228",D.C.,DC
New Jersey,1218.0,"8,958,013",N.J.,NJ
Puerto Rico,1046.0,"3,680,058",P.R.,PR
Rhode Island,1021.0,"1,056,298",R.I.,RI
Massachusetts,871.0,"6,794,422",Mass.,MA
Guam,808.0,"169,885",Guam,GU
Connecticut,741.0,"3,590,886",Conn.,CT
Maryland,618.0,"6,006,401",Md.,MD
Delaware,485.0,"945,934",Del.,DE
New York,420.0,"19,795,791",N.Y.,NY
Florida,378.0,"20,271,272",Fla.,FL
Pennsylvania,286.0,"12,802,503",Pa.,PA
Ohio,284.0,"11,614,373",Ohio,OH
California,251.0,"39,144,818",Calif.,CA
Illinois,231.0,"12,859,995",Ill.,IL
Hawaii,222.0,"1,431,603",Hawaii,HI
Virginia,212.0,"8,382,993",Va.,VA
North Carolina,206.0,"10,042,802",N.C.,NC
Indiana,184.0,"6,619,680",Ind.,IN
Georgia,177.0,"10,214,860",Ga.,GA
Michigan,175.0,"9,922,576",Mich.,MI
South Carolina,162.0,"4,896,146",S.C.,SC
Tennessee,160.0,"6,600,299",Tenn.,TN
New Hampshire,148.0,"1,330,608",N.H.,NH
Kentucky,112.0,"4,425,092",Ky.,KY
Louisiana,108.0,"4,670,724",La.,LA
Washington,107.0,"7,170,351",Wash.,WA
Wisconsin,106.0,"5,771,337",Wis.,WI
Texas,105.0,"27,469,114",Tex.,TX
Alabama,95.0,"4,858,979",Ala.,AL
Missouri,88.0,"6,083,672",Mo.,MO
West Virginia,76.0,"1,844,128",W.Va.,WV
Minnesota,68.0,"5,489,594",Minn.,MN
Vermont,67.0,"626,042",Vt.,VT
Mississippi,63.0,"2,992,333",Miss.,MS
Arizona,60.0,"6,828,065",Ariz.,AZ
Arkansas,57.0,"2,978,204",Ark.,AR
Oklahoma,57.0,"3,911,338",Okla.,OK
Iowa,55.0,"3,123,899",Iowa,IA
Colorado,52.0,"5,456,574",Colo.,CO
Maine,43.0,"1,329,328",Maine,ME
Oregon,41.0,"4,028,977",Ore.,OR
Utah,36.0,"2,995,919",Utah,UT
Kansas,36.0,"2,911,641",Kans.,KS
Nevada,26.0,"2,890,845",Nev.,NV
Nebraska,24.0,"1,896,190",Nebr.,NE
Idaho,20.0,"1,654,930",Idaho,ID
New Mexico,17.0,"2,085,109",N.M.,NM
South Dakota,11.0,"858,469",S.D.,SD
North Dakota,10.0,"756,927",N.D.,ND
Montana,7.0,"1,032,949",Mont.,MT
Wyoming,6.0,"586,107",Wyo.,WY
Alaska,1.0,"738,432",Alaska,AK
